"Domain Code","Domain","Element Code","Element","Unit"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","72381","Manure applied to soils (N content)","kg"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","723812","Manure applied to soils that leaches (N content)","kg"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","723811","Manure applied to soils that volatilises (N content)","kg"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","5111","Stocks","An"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","72340","Direct emissions (N2O) (Manure on pasture)","kt"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","7230","Emissions (N2O)","kt"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","kt"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","kt"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","72360","Indirect emissions (N2O) (Manure on pasture)","kt"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","72380","Manure left on pasture (N content)","kg"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","723802","Manure left on pasture that leaches (N content)","kg"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","723801","Manure left on pasture that volatilises (N content)","kg"
"GP","Climate Change: Agrifood systems emissions: Emissions from Manure left on pasture","5111","Stocks","An"
"GM","Climate Change: Agrifood systems emissions: Emissions from Manure management","72346","Direct emissions (N2O) (Manure management)","kt"
"GM","Climate Change: Agrifood systems emissions: Emissions from Manure management","7225","Emissions (CH4)","kt"
"GM","Climate Change: Agrifood systems emissions: Emissions from Manure management","7230","Emissions (N2O)","kt"
"GM","Climate Change: Agrifood systems emissions: Emissions from Manure management","72366","Indirect emissions (N2O) (Manure management)","kt"
"GM","Climate Change: Agrifood systems emissions: Emissions from Manure management","72386","Manure treated (N content)","kg"
"GM","Climate Change: Agrifood systems emissions: Emissions from Manure management","5111","Stocks","An"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","7225","Emissions (CH4)","kt"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","7273","Emissions (CO2)","kt"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","723113","Emissions (CO2eq) (AR5)","kt"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","717815","Emissions (CO2eq) from F-gases (AR5)","kt"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","7230","Emissions (N2O)","kt"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","723117","Energy Use (Coal)","TJ"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","723118","Energy Use (Electricity)","TJ"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","723119","Energy Use (Heat)","TJ"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","723116","Energy Use (Natural Gas, including LNG)","TJ"
"GPP","Climate Change: Agrifood systems emissions: Emissions from pre and post agricultural production","723115","Energy Use (Petroleum Products)","TJ"
"GR","Climate Change: Agrifood systems emissions: Emissions from Rice cultivation","5312","Area harvested","ha"
"GR","Climate Change: Agrifood systems emissions: Emissions from Rice cultivation","7225","Emissions (CH4)","kt"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","5162","Agricultural Use in nutrients","kg"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","72343","Direct emissions (N2O) (Synthetic fertilizers)","kt"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","7230","Emissions (N2O)","kt"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","723632","Indirect emissions (N2O that leaches) (Synthetic fertilizers)","kt"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","723631","Indirect emissions (N2O that volatilises) (Synthetic fertilizers)","kt"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","72363","Indirect emissions (N2O) (Synthetic fertilizers)","kt"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","516202","Nitrogen fertilizer content applied that leaches","kg"
"GY","Climate Change: Agrifood systems emissions: Emissions from Synthetic fertilizers","516201","Nitrogen fertilizer content applied that volatilises","kg"
"EI","Climate Change: Agrifood systems emissions: Emissions intensities","723113","Emissions (CO2eq) (AR5)","kt"
"EI","Climate Change: Agrifood systems emissions: Emissions intensities","71761","Emissions intensity","kg CO2eq/kg"
"EI","Climate Change: Agrifood systems emissions: Emissions intensities","5510","Production","t"
"EM","Climate Change: Agrifood systems emissions: Emissions shares","7279","Emissions per capita","t/pc"
"EM","Climate Change: Agrifood systems emissions: Emissions shares","7265","Emissions Share (CH4)","%"
"EM","Climate Change: Agrifood systems emissions: Emissions shares","7264","Emissions Share (CO2)","%"
"EM","Climate Change: Agrifood systems emissions: Emissions shares","726313","Emissions Share (CO2eq) (AR5)","%"
"EM","Climate Change: Agrifood systems emissions: Emissions shares","7179","Emissions Share (CO2eq) (AR5) (F-gases)","%"
"EM","Climate Change: Agrifood systems emissions: Emissions shares","7266","Emissions Share (N2O)","%"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","7234","Direct emissions (N2O)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","7225","Emissions (CH4)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","7273","Emissions (CO2)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","723113","Emissions (CO2eq) (AR5)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","724413","Emissions (CO2eq) from CH4 (AR5)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","717815","Emissions (CO2eq) from F-gases (AR5)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","724313","Emissions (CO2eq) from N2O (AR5)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","7230","Emissions (N2O)","kt"
"GT","Climate Change: Agrifood systems emissions: Emissions totals","7236","Indirect emissions (N2O)","kt"
"CAHD","Cost and Affordability of a Healthy Diet: Cost and Affordability of a Healthy Diet (CoAHD)","6121","Value","%"
"CAHD","Cost and Affordability of a Healthy Diet: Cost and Affordability of a Healthy Diet (CoAHD)","6132","Value","million No"
"CAHD","Cost and Affordability of a Healthy Diet: Cost and Affordability of a Healthy Diet (CoAHD)","6226","Value","PPP dollar per person per day"
"AE","Discontinued archives and data series: ASTI-Expenditures","6083","Share of Value Added (Agriculture, Forestry and Fishing)","%"
"AE","Discontinued archives and data series: ASTI-Expenditures","6084","Spending, total","million PPP (constant 2011 prices)"
"AF","Discontinued archives and data series: ASTI-Researchers","6086","Per 100,000 farmers",""
"AF","Discontinued archives and data series: ASTI-Researchers","6082","Researchers, total",""
"RA","Discontinued archives and data series: Fertilizers archive","5157","Agricultural Use","t"
"RA","Discontinued archives and data series: Fertilizers archive","5910","Export Quantity","t"
"RA","Discontinued archives and data series: Fertilizers archive","5610","Import Quantity","t"
"RA","Discontinued archives and data series: Fertilizers archive","5751","Prices Paid by Farmers","LCU/t"
"RA","Discontinued archives and data series: Fertilizers archive","5510","Production","t"
"FA","Discontinued archives and data series: Food Aid Shipments (WFP)","500","Food aid received","t"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60761","Mean","LCU/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60762","Mean","kcal/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60763","Mean","g/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60764","Mean","%"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60765","Mean","LCU"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60771","Median","LCU/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60772","Median","kcal/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60773","Median","g/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60774","Median","%"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60775","Median","LCU"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","6079","Number Observations","No"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60781","Standard Deviation","LCU/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60782","Standard Deviation","kcal/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60783","Standard Deviation","g/pc/d"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60784","Standard Deviation","%"
"HS","Discontinued archives and data series: Indicators from Household Surveys (gender, area, socioeconomics)","60785","Standard Deviation","LCU"
"RM","Discontinued archives and data series: Machinery","5907","Export Quantity","No"
"RM","Discontinued archives and data series: Machinery","5922","Export Value","1000 USD"
"RM","Discontinued archives and data series: Machinery","5607","Import Quantity","No"
"RM","Discontinued archives and data series: Machinery","5622","Import Value","1000 USD"
"RM","Discontinued archives and data series: Machinery","5116","In Use","No"
"RY","Discontinued archives and data series: Machinery Archive","5907","Export Quantity","No"
"RY","Discontinued archives and data series: Machinery Archive","5922","Export Value","1000 USD"
"RY","Discontinued archives and data series: Machinery Archive","5607","Import Quantity","No"
"RY","Discontinued archives and data series: Machinery Archive","5622","Import Value","1000 USD"
"RY","Discontinued archives and data series: Machinery Archive","5116","In Use","No"
"PA","Discontinued archives and data series: Producer Prices (old series)","5530","Producer Price (LCU/tonne)","LCU"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5910","Export Quantity","t"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5610","Import Quantity","t"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5165","Other uses (non-food)","t"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5023","Processed","t"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5510","Production","t"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5166","Residuals","t"
"CB","Food Balances: Commodity Balances (non-food) (2010-)","5071","Stock Variation","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5300","Domestic supply quantity","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5910","Export Quantity","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5520","Feed","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5141","Food supply quantity (tonnes)","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5610","Import Quantity","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5120","Losses","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5153","Other uses (non-food)","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5130","Processing","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5510","Production","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5166","Residuals","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5525","Seed","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5071","Stock Variation","t"
"CBH","Food Balances: Commodity Balances (non-food) (-2013, old methodology)","5164","Tourist consumption","t"
"FBS","Food Balances: Food Balances (2010-)","5301","Domestic supply quantity","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5911","Export Quantity","1000 t"
"FBS","Food Balances: Food Balances (2010-)","684","Fat supply quantity (g/capita/day)","g/pc/d"
"FBS","Food Balances: Food Balances (2010-)","681","Fat supply quantity (t)","t"
"FBS","Food Balances: Food Balances (2010-)","5521","Feed","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5142","Food","1000 t"
"FBS","Food Balances: Food Balances (2010-)","661","Food supply (kcal)","million Kcal"
"FBS","Food Balances: Food Balances (2010-)","664","Food supply (kcal/capita/day)","kcal/pc/d"
"FBS","Food Balances: Food Balances (2010-)","645","Food supply quantity (kg/capita/yr)","kg"
"FBS","Food Balances: Food Balances (2010-)","5611","Import Quantity","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5123","Losses","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5154","Other uses (non-food)","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5131","Processing","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5511","Production","1000 t"
"FBS","Food Balances: Food Balances (2010-)","674","Protein supply quantity (g/capita/day)","g/pc/d"
"FBS","Food Balances: Food Balances (2010-)","671","Protein supply quantity (t)","t"
"FBS","Food Balances: Food Balances (2010-)","5170","Residuals","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5527","Seed","1000 t"
"FBS","Food Balances: Food Balances (2010-)","5072","Stock Variation","1000 t"
"FBS","Food Balances: Food Balances (2010-)","511","Total Population - Both sexes","1000 No"
"FBS","Food Balances: Food Balances (2010-)","5171","Tourist consumption","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5301","Domestic supply quantity","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5911","Export Quantity","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","684","Fat supply quantity (g/capita/day)","g/pc/d"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5521","Feed","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5142","Food","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","664","Food supply (kcal/capita/day)","kcal/pc/d"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","645","Food supply quantity (kg/capita/yr)","kg"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5611","Import Quantity","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5123","Losses","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5154","Other uses (non-food)","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5131","Processing","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5511","Production","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","674","Protein supply quantity (g/capita/day)","g/pc/d"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5170","Residuals","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5527","Seed","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5072","Stock Variation","1000 t"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","511","Total Population - Both sexes","1000 No"
"FBSH","Food Balances: Food Balances (-2013, old methodology and population)","5171","Tourist consumption","1000 t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","261","Calories/Year","million Kcal"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5910","Export Quantity","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","684","Fat supply quantity (g/capita/day)","g/pc/d"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","281","Fats/Year","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5520","Feed","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","664","Food supply (kcal/capita/day)","kcal/pc/d"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","665","Food supply quantity (g/capita/day)","g/pc/d"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5141","Food supply quantity (tonnes)","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5610","Import Quantity","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5016","Loss","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5113","Opening stocks","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5165","Other uses (non-food)","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5023","Processed","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5510","Production","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","674","Protein supply quantity (g/capita/day)","g/pc/d"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","271","Proteins/Year","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5166","Residuals","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5525","Seed","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5071","Stock Variation","t"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","511","Total Population - Both sexes","1000 No"
"SCL","Food Balances: Supply Utilization Accounts (2010-)","5164","Tourist consumption","t"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","61321","Confidence interval: Lower bound","million No"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","61211","Confidence interval: Lower bound","%"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","61212","Confidence interval: Upper bound","%"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","61322","Confidence interval: Upper bound","million No"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6173","Value","No"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6122","Value","I$ per person"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6123","Value","g/pc/d"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6124","Value","km"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6125","Value","Index"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6126","Value","I$"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6127","Value","1000 I$"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6128","Value","kcal/pc/d"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6132","Value","million No"
"FS","Food Security and Nutrition: Suite of Food Security Indicators","6121","Value","%"
"GFDI","Food Value Chain: Value shares by industry and primary factors","6223","Factor share","%"
"GFDI","Food Value Chain: Value shares by industry and primary factors","6222","Industry share","%"
"GFDI","Food Value Chain: Value shares by industry and primary factors","6109","Value Local Currency","million LCU"
"GFDI","Food Value Chain: Value shares by industry and primary factors","6225","Value SLC, 2015 prices","million SLC"
"GFDI","Food Value Chain: Value shares by industry and primary factors","6110","Value US$","million USD"
"GFDI","Food Value Chain: Value shares by industry and primary factors","6184","Value US$, 2015 prices","million USD"
"FO","Forestry: Forestry Production and Trade","5910","Export Quantity","t"
"FO","Forestry: Forestry Production and Trade","5916","Export Quantity","m3"
"FO","Forestry: Forestry Production and Trade","5922","Export Value","1000 USD"
"FO","Forestry: Forestry Production and Trade","5610","Import Quantity","t"
"FO","Forestry: Forestry Production and Trade","5616","Import Quantity","m3"
"FO","Forestry: Forestry Production and Trade","5622","Import Value","1000 USD"
"FO","Forestry: Forestry Production and Trade","5510","Production","t"
"FO","Forestry: Forestry Production and Trade","5516","Production","m3"
"FT","Forestry: Forestry Trade Flows (temporarily discontinued 2018)","5910","Export Quantity","t"
"FT","Forestry: Forestry Trade Flows (temporarily discontinued 2018)","5916","Export Quantity","m3"
"FT","Forestry: Forestry Trade Flows (temporarily discontinued 2018)","5922","Export Value","1000 USD"
"FT","Forestry: Forestry Trade Flows (temporarily discontinued 2018)","5610","Import Quantity","t"
"FT","Forestry: Forestry Trade Flows (temporarily discontinued 2018)","5616","Import Quantity","m3"
"FT","Forestry: Forestry Trade Flows (temporarily discontinued 2018)","5622","Import Value","1000 USD"
"CISP","Investment: Country Investment Statistics Profile","6159","Agriculture orientation index US$","Index"
"CISP","Investment: Country Investment Statistics Profile","6129","Annual growth US$","%"
"CISP","Investment: Country Investment Statistics Profile","6139","Share of Total US$","%"
"CISP","Investment: Country Investment Statistics Profile","6161","Share of Value Added US$","%"
"CISP","Investment: Country Investment Statistics Profile","6110","Value US$","million USD"
"CISP","Investment: Country Investment Statistics Profile","61840","Value US$, 2015 prices","million USD"
"CISP","Investment: Country Investment Statistics Profile","61980","Value US$, 2020 prices","million USD"
"IC","Investment: Credit to Agriculture","6159","Agriculture orientation index US$","Index"
"IC","Investment: Credit to Agriculture","61132","Share of Total Credit US$","%"
"IC","Investment: Credit to Agriculture","6109","Value Local Currency","million LCU"
"IC","Investment: Credit to Agriculture","6183","Value Local Currency, 2015 prices","million LCU"
"IC","Investment: Credit to Agriculture","6110","Value US$","million USD"
"IC","Investment: Credit to Agriculture","6184","Value US$, 2015 prices","million USD"
"EA","Investment: Development Flows to Agriculture","6159","Agriculture orientation index US$","Index"
"EA","Investment: Development Flows to Agriculture","6139","Share of Total US$","%"
"EA","Investment: Development Flows to Agriculture","6110","Value US$","million USD"
"EA","Investment: Development Flows to Agriculture","6198","Value US$, 2021 prices","million USD"
"FDI","Investment: Foreign Direct Investment (FDI)","6141","Share of Total FDI inflows US$","%"
"FDI","Investment: Foreign Direct Investment (FDI)","6142","Share of Total FDI outflows US$","%"
"FDI","Investment: Foreign Direct Investment (FDI)","6110","Value US$","million USD"
"FDI","Investment: Foreign Direct Investment (FDI)","6184","Value US$, 2015 prices","million USD"
"IG","Investment: Government Expenditure","6197","SDG 2.a.1: Agriculture Orientation Index (AOI) for Government Expenditure","Index"
"IG","Investment: Government Expenditure","6131","SDG 2.a.1: Agriculture share of Gov’t expenditures","%"
"IG","Investment: Government Expenditure","6111","Share of Total Expenditure","%"
"IG","Investment: Government Expenditure","61121","Share of Total Expenditure US$",""
"IG","Investment: Government Expenditure","6109","Value Local Currency","million LCU"
"IG","Investment: Government Expenditure","6110","Value US$","million USD"
"IG","Investment: Government Expenditure","6184","Value US$, 2015 prices","million USD"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7275","Cropland nitrogen","t"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7276","Cropland nitrogen per unit area","kg/ha"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7290","Cropland nitrogen use efficiency","%"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7280","Cropland phosphorus","t"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7281","Cropland phosphorus per unit area","kg/ha"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7291","Cropland phosphorus use efficiency","%"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7282","Cropland potassium","t"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7283","Cropland potassium per unit area","kg/ha"
"ESB","Land, Inputs and Sustainability: Cropland Nutrient Budget","7292","Cropland potassium use efficiency","%"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5157","Agricultural Use","t"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5910","Export Quantity","t"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5610","Import Quantity","t"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5510","Production","t"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5159","Use per area of cropland","kg/ha"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5172","Use per capita","kg/pc"
"RFN","Land, Inputs and Sustainability: Fertilizers by Nutrient","5173","Use per value of agricultural production","kg/1000 Int.$"
"RFB","Land, Inputs and Sustainability: Fertilizers by Product","5157","Agricultural Use","t"
"RFB","Land, Inputs and Sustainability: Fertilizers by Product","5910","Export Quantity","t"
"RFB","Land, Inputs and Sustainability: Fertilizers by Product","5922","Export Value","1000 USD"
"RFB","Land, Inputs and Sustainability: Fertilizers by Product","5610","Import Quantity","t"
"RFB","Land, Inputs and Sustainability: Fertilizers by Product","5622","Import Value","1000 USD"
"RFB","Land, Inputs and Sustainability: Fertilizers by Product","5510","Production","t"
"LC","Land, Inputs and Sustainability: Land Cover","5008","Area from CCI_LC","1000 ha"
"LC","Land, Inputs and Sustainability: Land Cover","5006","Area from CGLS","1000 ha"
"LC","Land, Inputs and Sustainability: Land Cover","5007","Area from MODIS","1000 ha"
"LC","Land, Inputs and Sustainability: Land Cover","5013","Area from WorldCover","1000 ha"
"RL","Land, Inputs and Sustainability: Land Use","5110","Area","1000 ha"
"RL","Land, Inputs and Sustainability: Land Use","7277","Area per capita","ha/pc"
"RL","Land, Inputs and Sustainability: Land Use","72151","Carbon stock in living biomass","million t"
"RL","Land, Inputs and Sustainability: Land Use","7208","Share in Agricultural land","%"
"RL","Land, Inputs and Sustainability: Land Use","7252","Share in Cropland","%"
